"","ntax","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,283.331599064368,433.555544512298,216.48703952763,286,-0.693916577064916,0.286,999
"barre.des.Ecrins",43,310.221262403101,422.025732511322,212.246334753368,470,-0.526767495128428,0.47,999
"brèche.de.valsenestre",14,282.950360714286,419.413492815461,217.773446475909,334,-0.626628885704262,0.334,999
"brèche.du.râteau",33,271.88131992803,434.387233827866,222.182095777286,265,-0.73140868228523,0.265,999
"EcrinsNP",1092,321.643628089668,436.715378275585,227.98890711427,466,-0.504725215109882,0.466,999
"l.olan",68,346.313972614574,418.422077682181,214.271351627244,561,-0.336527046289645,0.561,999
"la.meije",37,259.192991891892,430.312208124002,214.385760110073,222,-0.798183686007186,0.222,999
"le.râteau",75,399.445614254414,426.083944394573,211.227532505699,565,-0.126112016857648,0.565,999
"le.sirac",81,343.061003340741,420.495238661776,218.586503813804,553,-0.354249846033471,0.553,999
"les.rouies",44,287.703421001057,425.404617521194,213.612569953064,310,-0.644630587752362,0.31,999
"mont.pelvoux",17,474.798530397059,414.275343508297,205.26573776792,649,0.294852845618062,0.649,999
"occidentale.l.ailefroide",31,322.695217544086,418.127238454411,220.538663455902,516,-0.432722405291114,0.516,999
"persistant",172,328.035874189446,424.109274893436,212.005267493392,496,-0.453165158771276,0.496,999
"pic.du.clapier.du.peyron",45,272.831337969697,423.341175058353,212.289434705988,258,-0.70898411547002,0.258,999
"pic.ouest..le.rateau.",26,346.375483018462,424.211289965544,216.5011180154,552,-0.359516882224809,0.552,999
"pointe.brevoort",13,243.421320410256,419.909413369798,214.821250009131,179,-0.821557890348559,0.179,999
"pointes.de.burlan",34,266.195413188948,424.837175959043,218.92248152586,241,-0.724648111351485,0.241,999
"rocher.de.la.selle",157,322.700412802711,416.086630990601,217.579240462936,508,-0.429205552833054,0.508,999
"signal.du.lauvitel",87,357.795571412991,436.353648957194,222.670182287411,515,-0.352800167212349,0.515,999
"Summits",226,339.155270673746,415.130706154258,208.245602012906,550,-0.364835726402535,0.55,999
"tête.de.la.muraillette",64,291.012174632937,429.740906360959,214.348399607475,326,-0.64721141833608,0.326,999
"tour.choisy",18,253.783288091503,421.621660277642,218.722498740168,215,-0.767357602226018,0.215,999
"underIce",109,362.384067207611,418.431563162258,207.178720596891,541,-0.270527280954198,0.541,999
