"","aiguille.du.plat.de.la.selle","barre.des.Ecrins","brèche.de.valsenestre","brèche.du.râteau","EcrinsNP","la.meije","le.râteau","le.sirac","les.rouies","l.olan","mont.pelvoux","occidentale.l.ailefroide","persistant","pic.du.clapier.du.peyron","pic.ouest..le.rateau.","pointe.brevoort","pointes.de.burlan","rocher.de.la.selle","signal.du.lauvitel","Summits","tête.de.la.muraillette","tour.choisy","underIce"
"aiguille.du.plat.de.la.selle",0,0.359200701511747,0.383815782540071,0.312099836223839,0.847826042086647,0.31591610051571,0.540735321779614,0.445346430683189,0.314450417323338,0.427714343828644,0.552768380653852,0.409948481706755,0.535142384940682,0.367562513563006,0.347077140292926,0.405101367692919,0.373511461688754,0.557383177654992,0.471848407237962,0.62927977767873,0.387720760357432,0.314061206976752,0.536485689904469
"barre.des.Ecrins",0.359200701511747,0,0.507564089611571,0.260171966513663,0.793317294539288,0.275044346149357,0.408239894853766,0.319230185891049,0.206514030693808,0.307071628263341,0.54818409814258,0.352154250463866,0.40546238685308,0.238789811995336,0.230415501106634,0.359812964091964,0.264698167084627,0.421196977726492,0.303400399544325,0.516658459168599,0.193262748783399,0.303401548101373,0.369553792897943
"brèche.de.valsenestre",0.383815782540071,0.507564089611571,0,0.478179600919712,0.892143625583183,0.487031600056259,0.644273444053994,0.5929344416569,0.4969401549095,0.589387505576798,0.527504661819876,0.466470721651776,0.648630314358444,0.451358715004653,0.469972766557325,0.409956707910423,0.451731278261312,0.658542974072244,0.577457087391034,0.723918633770624,0.557939595703703,0.453494498215585,0.656888603667022
"brèche.du.râteau",0.312099836223839,0.260171966513663,0.478179600919712,0,0.841141797350894,0.161660620370637,0.564886766066671,0.492496692731238,0.249294897822585,0.492623936536095,0.557852585324591,0.3122192549223,0.549336802115671,0.212997848447794,0.296854532615995,0.332537555784126,0.244301142361572,0.55687010840292,0.458029029441547,0.614448293163023,0.355976344436717,0.247717169116888,0.468539760064662
"EcrinsNP",0.847826042086647,0.793317294539288,0.892143625583183,0.841141797350894,0,0.834324089754799,0.666193158949862,0.68806765366647,0.778579225240098,0.670821337631056,0.809984126057559,0.806371406766571,0.574996477987173,0.812078888417642,0.828353689662323,0.895595991895865,0.82791635546099,0.562838922773201,0.668946279725097,0.471175184237586,0.744771056361651,0.875932544115548,0.615590980126563
"la.meije",0.31591610051571,0.275044346149357,0.487031600056259,0.161660620370637,0.834324089754799,0,0.529047999654986,0.451214656232014,0.21548296047109,0.466529017721023,0.536267523854391,0.322040345538255,0.513728691165267,0.187184459607605,0.280163531515597,0.261672334677334,0.246237508728452,0.528346359625097,0.424594996980412,0.600753773557604,0.315436717273258,0.204458052552922,0.468546162012125
"le.râteau",0.540735321779614,0.408239894853766,0.644273444053994,0.564886766066671,0.666193158949862,0.529047999654986,0,0.253591495612201,0.383168702302716,0.266560719384601,0.592990007272923,0.577186839845335,0.245922946932832,0.515777385500255,0.489012790072572,0.640911362611118,0.51672074718883,0.242698827169525,0.236696722463246,0.287308313924897,0.379922388882333,0.60137365256131,0.198966912871865
"le.sirac",0.445346430683189,0.319230185891049,0.5929344416569,0.492496692731238,0.68806765366647,0.451214656232014,0.253591495612201,0,0.317575681844589,0.228732778782886,0.619612841770167,0.488625328345201,0.196636408065321,0.445098881002238,0.441105060096902,0.586843517041722,0.420002998483198,0.242591396683572,0.157749064211321,0.322964070864742,0.305271577960197,0.551174145725946,0.323211736666666
"les.rouies",0.314450417323338,0.206514030693808,0.4969401549095,0.249294897822585,0.778579225240098,0.21548296047109,0.383168702302716,0.317575681844589,0,0.350664797128535,0.588614471061359,0.356556402661136,0.373069990159368,0.245542320955861,0.247954391251273,0.395329615417688,0.319875968687431,0.400267334021735,0.274099420649979,0.48910554661011,0.237734202878281,0.327381645307258,0.32752220948958
"l.olan",0.427714343828644,0.307071628263341,0.589387505576798,0.492623936536095,0.670821337631056,0.466529017721023,0.266560719384601,0.228732778782886,0.350664797128535,0,0.515570269240224,0.487613597972452,0.230049271753859,0.399726041260511,0.389872856128301,0.565052640933391,0.442067855208776,0.205714943790892,0.199853272505574,0.293871072491953,0.296535930623516,0.499532183891565,0.307944179872907
"mont.pelvoux",0.552768380653852,0.54818409814258,0.527504661819876,0.557852585324591,0.809984126057559,0.536267523854391,0.592990007272923,0.619612841770167,0.588614471061359,0.515570269240224,0,0.346599622894338,0.675312261089544,0.556051926179914,0.549004271489088,0.507498258444153,0.491283845483815,0.619496879243157,0.626828417317353,0.551207517387618,0.619709428850456,0.485849952141403,0.471312100812861
"occidentale.l.ailefroide",0.409948481706755,0.352154250463866,0.466470721651776,0.3122192549223,0.806371406766571,0.322040345538255,0.577186839845335,0.488625328345201,0.356556402661136,0.487613597972452,0.346599622894338,0,0.553327046950798,0.330599813951072,0.395886420452057,0.411626932823313,0.332529997459456,0.566283896356116,0.481935702114645,0.541127584075059,0.419428330064547,0.380938263455096,0.378159088254633
"persistant",0.535142384940682,0.40546238685308,0.648630314358444,0.549336802115671,0.574996477987173,0.513728691165267,0.245922946932832,0.196636408065321,0.373069990159368,0.230049271753859,0.675312261089544,0.553327046950798,0,0.446481222047294,0.49270303537354,0.665177810851221,0.489021265824348,0.141144109530076,0.158787946282671,0.141934414417475,0.298927921906452,0.610821419601012,0.268630088205297
"pic.du.clapier.du.peyron",0.367562513563006,0.238789811995336,0.451358715004653,0.212997848447794,0.812078888417642,0.187184459607605,0.515777385500255,0.445098881002238,0.245542320955861,0.399726041260511,0.556051926179914,0.330599813951072,0.446481222047294,0,0.371156358439987,0.316542449276744,0.236527706173985,0.463630757138014,0.36924852881336,0.553349309276631,0.249620788397288,0.259198082522064,0.453649850960207
"pic.ouest..le.rateau.",0.347077140292926,0.230415501106634,0.469972766557325,0.296854532615995,0.828353689662323,0.280163531515597,0.489012790072572,0.441105060096902,0.247954391251273,0.389872856128301,0.549004271489088,0.395886420452057,0.49270303537354,0.371156358439987,0,0.361455673723809,0.342704058325821,0.502305008867332,0.376082599896687,0.58891210459854,0.337563752013119,0.326472695780876,0.441705356332407
"pointe.brevoort",0.405101367692919,0.359812964091964,0.409956707910423,0.332537555784126,0.895595991895865,0.261672334677334,0.640911362611118,0.586843517041722,0.395329615417688,0.565052640933391,0.507498258444153,0.411626932823313,0.665177810851221,0.316542449276744,0.361455673723809,0,0.325946096191933,0.673460071635911,0.569812715072381,0.736433556939587,0.468693379355491,0.113799664716791,0.636050753609413
"pointes.de.burlan",0.373511461688754,0.264698167084627,0.451731278261312,0.244301142361572,0.82791635546099,0.246237508728452,0.51672074718883,0.420002998483198,0.319875968687431,0.442067855208776,0.491283845483815,0.332529997459456,0.489021265824348,0.236527706173985,0.342704058325821,0.325946096191933,0,0.516262461688801,0.417243760527565,0.588002173657844,0.290310068261147,0.282830204967185,0.435584275225933
"rocher.de.la.selle",0.557383177654992,0.421196977726492,0.658542974072244,0.55687010840292,0.562838922773201,0.528346359625097,0.242698827169525,0.242591396683572,0.400267334021735,0.205714943790892,0.619496879243157,0.566283896356116,0.141144109530076,0.463630757138014,0.502305008867332,0.673460071635911,0.516262461688801,0,0.205135516319804,0.124937127794225,0.3487896590621,0.621135192410156,0.245967948085861
"signal.du.lauvitel",0.471848407237962,0.303400399544325,0.577457087391034,0.458029029441547,0.668946279725097,0.424594996980412,0.236696722463246,0.157749064211321,0.274099420649979,0.199853272505574,0.626828417317353,0.481935702114645,0.158787946282671,0.36924852881336,0.376082599896687,0.569812715072381,0.417243760527565,0.205135516319804,0,0.291529817294548,0.236123104798908,0.520707971723532,0.273322676507467
"Summits",0.62927977767873,0.516658459168599,0.723918633770624,0.614448293163023,0.471175184237586,0.600753773557604,0.287308313924897,0.322964070864742,0.48910554661011,0.293871072491953,0.551207517387618,0.541127584075059,0.141934414417475,0.553349309276631,0.58891210459854,0.736433556939587,0.588002173657844,0.124937127794225,0.291529817294548,0,0.422918675292441,0.691669351869194,0.204897054095572
"tête.de.la.muraillette",0.387720760357432,0.193262748783399,0.557939595703703,0.355976344436717,0.744771056361651,0.315436717273258,0.379922388882333,0.305271577960197,0.237734202878281,0.296535930623516,0.619709428850456,0.419428330064547,0.298927921906452,0.249620788397288,0.337563752013119,0.468693379355491,0.290310068261147,0.3487896590621,0.236123104798908,0.422918675292441,0,0.410277480003555,0.323140261988331
"tour.choisy",0.314061206976752,0.303401548101373,0.453494498215585,0.247717169116888,0.875932544115548,0.204458052552922,0.60137365256131,0.551174145725946,0.327381645307258,0.499532183891565,0.485849952141403,0.380938263455096,0.610821419601012,0.259198082522064,0.326472695780876,0.113799664716791,0.282830204967185,0.621135192410156,0.520707971723532,0.691669351869194,0.410277480003555,0,0.577749137587078
"underIce",0.536485689904469,0.369553792897943,0.656888603667022,0.468539760064662,0.615590980126563,0.468546162012125,0.198966912871865,0.323211736666666,0.32752220948958,0.307944179872907,0.471312100812861,0.378159088254633,0.268630088205297,0.453649850960207,0.441705356332407,0.636050753609413,0.435584275225933,0.245967948085861,0.273322676507467,0.204897054095572,0.323140261988331,0.577749137587078,0
