"","PHLAWD Input Name","TNRS iPlant Taxonomy","GenBank Taxonomy ID","GenBank Taxonomy","ITS","trnTLF","rbcL","matK","atpB","Alps Phylogeny","TaxRef v.9","Alien Origin","Endemic","Regional","All Summits","LGM","Aiguille du plat de la Selle","Barre des Ecrins","la Meije","le Sirac","les Rouies","Olan","Mont Pelvoux","Occidentale.Ailefroide","Point Brevoort","Pointes de Burlan","Rocher de la Selle","Tour Choisy","Tete de la Muraillette","le Rateau","Signal de Lauvitel"
"1","Abies_alba","Abies_alba",45372,"Abies_alba","NA","375174864","6520340","315259938","55056899",1,"Abies_alba","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acer_campestre","Acer_campestre",66205,"Acer_campestre","81302421","21954629","817991598","19571582","NA",1,"Acer_campestre","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acer_monspessulanum","Acer_monspessulanum",168566,"Acer_monspessulanum_subsp__monspessulanum","86450943","NA","NA","NA","NA",1,"Acer_monspessulanum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acer_monspessulanum","Acer_monspessulanum",168566,"Acer_monspessulanum","NA","21954601","291201196","19571698","NA",1,"Acer_monspessulanum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acer_opalus","Acer_opalus",168567,"Acer_opalus","NA","122893933","118723699","19571692","NA",1,"Acer_opalus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acer_opalus","Acer_opalus",168567,"Acer_opalus_subsp__opalus","51537384","NA","NA","NA","NA",1,"Acer_opalus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Acer_platanoides","Acer_platanoides",4025,"Acer_platanoides","145197788","21954633","291201154","19571631","NA",1,"Acer_platanoides","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Acer_pseudoplatanus","Acer_pseudoplatanus",4026,"Acer_pseudoplatanus","51537404","122893940","118723709","19571686","NA",1,"Acer_pseudoplatanus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Achillea_distans","Achillea_distans",282733,"Achillea_distans","49823320","49823402","NA","NA","NA",1,"Achillea_distans","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1131","Ptarmica_macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,0,"Achillea_macrophylla","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Achillea_millefolium","Achillea_millefolium",13329,"Achillea_millefolium","193735348","NA","289108","170665349","NA",1,"Achillea_millefolium","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"11","Achillea_millefolium","Achillea_millefolium",13329,"Achillea_millefolium_subsp__sudetica","NA","49823399","NA","NA","NA",1,"Achillea_millefolium","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1132","Ptarmica_nana",NA,NA,NA,NA,NA,NA,NA,NA,0,"Achillea_nana","",1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1
"12","Achillea_nobilis","Achillea_nobilis",282753,"Achillea_nobilis","49823344","49823421","NA","NA","NA",1,"Achillea_nobilis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Achillea_roseo",NA,NA,NA,NA,NA,NA,NA,NA,0,"Achillea_roseo-alba","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Achnatherum_calamagrostis","Achnatherum_calamagrostis",487912,"Achnatherum_calamagrostis","162708172","323280505","399139325","744393579","NA",1,"Achnatherum_calamagrostis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Aconitum_anthora","Aconitum_anthora",112588,"Aconitum_anthora","12082542","NA","NA","295418924","NA",1,"Aconitum_anthora","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Aconitum_laeve",NA,NA,NA,NA,NA,NA,NA,NA,0,"Aconitum_laeve","Himaya",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
