"","Valid_LIB.C.150","Alien_origin","ITS","trnTLF","rbcL","matK","atpB","Endemic","Ecrins.NP","Summits","Persistent","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1","Abies_alba","",0,375174864,6520340,315259938,55056899,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acer_campestre","",81302421,21954629,817991598,19571582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acer_monspessulanum","",86450943,21954601,291201196,19571698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acer_opalus","",51537384,122893933,118723699,19571692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acer_platanoides","",145197788,21954633,291201154,19571631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acer_pseudoplatanus","",51537404,122893940,118723709,19571686,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Achillea_distans","",49823320,49823402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Achillea_macrophylla","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Achillea_millefolium","",193735348,49823399,289108,170665349,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"10","Achillea_nana","",0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1
"11","Achillea_nobilis","",49823344,49823421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Achillea_roseo-alba","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Achnatherum_calamagrostis","",162708172,323280505,399139325,744393579,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Aconitum_anthora","",12082542,0,0,295418924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Aconitum_laeve","Himaya",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Aconitum_variegatum","",632933540,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Aconogonum_alpinum","",0,156536628,218059573,8568052,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Actaea_spicata","",384369248,3641791,733452253,384369038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Adenostyles_alliariae","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20","Adenostyles_alpina","",156753995,308228703,0,308320176,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"21","Adenostyles_leucophylla","",27652559,28193391,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
"22","Adonis_aestivalis","",0,0,597518414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Adoxa_moschatellina","",1850564,28172965,817991606,20530883,305671646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Aegopodium_podagraria","",386778943,376373207,379036860,379038708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Aethionema_saxatile","",298200774,27461486,46325897,170517197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Aethusa_cynapium","",307748667,373431723,379037306,607344948,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Agrimonia_eupatoria","",3746143,27524861,379032466,379037824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Agrostis_alpina","",0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
"29","Agrostis_capillaris","",210076951,159146750,41056379,119553571,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30","Agrostis_rupestris","",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
"31","Agrostis_schraderiana","",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"32","Agrostis_stolonifera","",758585555,189303940,557836347,76881051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Ajuga_chamaepitys","",0,261086983,1480371,371754258,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Ajuga_genevensis","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Ajuga_pyramidalis","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Ajuga_reptans","",145567031,395863759,1817567,58045217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Alchemilla_alpina","",158514971,27524335,733452036,733451834,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"38","Alchemilla_baltica","Russia",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"39","Alchemilla_conjuncta","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Alchemilla_connivens","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Alchemilla_fissa","",158514993,160346895,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"42","Alchemilla_flabellata","",158514994,160346896,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"43","Alchemilla_glabra","",0,0,379034147,379038840,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"44","Alchemilla_glaucescens","",0,260182656,733452032,733451840,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"45","Alchemilla_incisa","",158515004,160346907,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"46","Alchemilla_monticola","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Alchemilla_pentaphyllea","",158515017,229270116,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"48","Alchemilla_plicata","",158515018,160346922,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Alchemilla_saxatilis","",158515022,160346923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Alchemilla_subcrenata","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Alchemilla_transiens","",158515032,160346932,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"52","Alchemilla_xanthochlora","",0,0,379036574,379041704,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53","Alisma_plantago-aquatica","",343404236,218091653,507914137,33332494,68139360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Alliaria_petiolata","",0,371768950,817991626,12002400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Allium_lusitanicum","",40548536,374079070,519670648,357640289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Allium_oleraceum","",256596110,256587886,379133809,385137179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Allium_schoenoprasum","",21628464,537099176,379031483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Allium_scorodoprasum","",21739030,194241427,733452004,733451850,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Allium_sphaerocephalon","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Allium_strictum","",291292610,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Allium_tauricum","Caucasus, Russia",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Allium_ursinum","",0,537099181,379037452,379042324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Allium_victorialis","",0,537099182,313756389,313756606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Alnus_alnobetula","",17065872,37720897,33113300,33113276,37729409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Alnus_glutinosa","",269137205,199600239,817991630,661916495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Alnus_incana","",38045344,199600241,297535,661916497,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Alopecurus_magellanicus","North Eurasia",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"68","Alopecurus_myosuroides","",855196486,6899872,387912168,387912228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Alyssoides_utriculata","",525672207,525672725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Alyssum_alpestre","",525672208,525672728,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Alyssum_alyssoides","",525672212,525672739,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Amelanchier_ovalis","",555685584,555685537,379062034,384598718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Anacamptis_morio","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Androsace_adfinis_subsp._puberula","",0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"75","Androsace_helvetica","",30526248,30526151,557836391,702066119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Androsace_maxima","",30526282,30526128,0,702066199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Androsace_obtusifolia","",186920053,30526142,0,702066121,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"78","Androsace_pubescens","",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0
"79","Androsace_vandellii","",30526242,30526140,0,702066075,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"80","Androsace_vitaliana","",0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"81","Anemone_alpina","",0,0,557836449,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Anemone_baldensis","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"83","Anemone_halleri","",257221019,148373572,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Anemone_hepatica","",257221015,148287118,0,31339238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Anemone_montana","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Anemone_narcissiflora","",37542434,260079476,557836447,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Anemone_ranunculoides","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Anemone_vernalis","",0,148373565,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"89","Angelica_sylvestris","",345452853,79676049,379037308,75758024,305671690,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Anisantha_sterilis","",695614306,158634006,61378596,315259946,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Anisantha_tectorum","",564586121,158634005,341872983,564585916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Antennaria_carpatica","",223414513,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"93","Antennaria_dioica","",223414512,317438828,379032538,308196094,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
"94","Anthericum_liliago","",0,24181948,1518182,313756619,499069522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Anthoxanthum_odoratum","",209962734,119553714,57283791,133917425,110915581,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
"96","Anthriscus_sylvestris","",165911381,312182175,379037312,379042214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Anthyllis_montana","",19572710,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Anthyllis_vulneraria","",28467446,667668277,817991654,23477675,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Antirrhinum_majus","",222137869,22795974,290486933,290488913,290490141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
